Center Node,Neighbor,Degree Centrality
107,1684,0.1961367013372957
107,0,0.08593363051015354
107,1888,0.0629024269440317
107,1800,0.06067360079247152
107,1663,0.058197127290737984
107,1352,0.05794947994056463
107,483,0.057206537890044575
107,348,0.05671124318969787
107,1730,0.055968301139177806
107,1431,0.05448241703813769
107,1199,0.05373947498761763
107,1584,0.05225359088657751
107,1768,0.051758296186230804
107,1589,0.050767706785537395
107,1086,0.050767706785537395
107,1746,0.05002476473501733
107,1827,0.04977711738484398
107,1126,0.04903417533432392
107,1804,0.04829123328380386
107,1390,0.047795938583457154
107,1833,0.04730064388311045
107,1377,0.0470529965329371
107,1612,0.0470529965329371
107,1621,0.046805349182763745
107,1714,0.04631005448241703
107,1559,0.04606240713224368
107,1707,0.04581475978207033
107,1078,0.045319465081723624
107,1835,0.04507181773155027
107,1376,0.04507181773155027
107,1613,0.04507181773155027
107,1610,0.04432887568103021
107,1399,0.044081228330856856
107,1622,0.043833580980683504
107,1391,0.0433382862803368
107,1211,0.042842991579990095
107,1551,0.04234769687964338
107,1577,0.04210004952947003
107,1471,0.04185240217929668
107,925,0.041357107478949974
107,946,0.04110946012877662
107,1367,0.04110946012877662
107,1059,0.04086181277860327
107,1839,0.04086181277860327
107,1554,0.0396235760277365
107,1516,0.03937592867756315
107,414,0.03937592867756315
107,1184,0.0391282813273898
107,1736,0.03863298662704309
107,1813,0.03863298662704309
